date,beta_const,beta_oil,beta_ofz,fair_expanding,deviation_pct
2014-07-17,,,,,
2014-07-18,,,,,
2014-07-21,,,,,
2014-07-22,,,,,
2014-07-23,,,,,
2014-07-24,,,,,
2014-07-25,,,,,
2014-07-28,,,,,
2014-07-29,,,,,
2014-07-30,,,,,
2014-07-31,,,,,
2014-08-01,,,,,
2014-08-04,,,,,
2014-08-05,,,,,
2014-08-06,,,,,
2014-08-07,,,,,
2014-08-08,,,,,
2014-08-11,,,,,
2014-08-12,,,,,
2014-08-13,,,,,
2014-08-14,,,,,
2014-08-15,,,,,
2014-08-18,,,,,
2014-08-19,,,,,
2014-08-20,,,,,
2014-08-21,,,,,
2014-08-22,,,,,
2014-08-25,,,,,
2014-08-26,,,,,
2014-08-27,,,,,
2014-08-28,,,,,
2014-08-29,,,,,
2014-09-01,,,,,
2014-09-02,,,,,
2014-09-03,,,,,
2014-09-04,,,,,
2014-09-05,,,,,
2014-09-08,,,,,
2014-09-09,,,,,
2014-09-10,,,,,
2014-09-11,,,,,
2014-09-12,,,,,
2014-09-15,,,,,
2014-09-16,,,,,
2014-09-17,,,,,
2014-09-18,,,,,
2014-09-19,,,,,
2014-09-22,,,,,
2014-09-23,,,,,
2014-09-24,,,,,
2014-09-25,,,,,
2014-09-26,,,,,
2014-09-29,,,,,
2014-09-30,,,,,
2014-10-01,,,,,
2014-10-02,,,,,
2014-10-03,,,,,
2014-10-06,,,,,
2014-10-07,,,,,
2014-10-08,,,,,
2014-10-09,,,,,
2014-10-10,,,,,
2014-10-13,,,,,
2014-10-14,,,,,
2014-10-15,,,,,
2014-10-16,,,,,
2014-10-17,,,,,
2014-10-20,,,,,
2014-10-21,,,,,
2014-10-22,,,,,
2014-10-23,,,,,
2014-10-24,,,,,
2014-10-27,,,,,
2014-10-28,,,,,
2014-10-29,,,,,
2014-10-30,,,,,
2014-10-31,,,,,
2014-11-03,,,,,
2014-11-05,,,,,
2014-11-06,,,,,
2014-11-07,,,,,
2014-11-10,,,,,
2014-11-11,,,,,
2014-11-12,,,,,
2014-11-13,,,,,
2014-11-14,,,,,
2014-11-17,,,,,
2014-11-18,,,,,
2014-11-19,,,,,
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-24,,,,,
2014-11-25,,,,,
2014-11-26,,,,,
2014-11-27,,,,,
2014-11-28,,,,,
2014-12-01,,,,,
2014-12-02,,,,,
2014-12-03,,,,,
2014-12-04,,,,,
2014-12-05,,,,,
2014-12-08,,,,,
2014-12-09,,,,,
2014-12-10,,,,,
2014-12-11,,,,,
2014-12-12,,,,,
2014-12-15,,,,,
2014-12-16,,,,,
2014-12-17,,,,,
2014-12-18,,,,,
2014-12-19,,,,,
2014-12-22,,,,,
2014-12-23,,,,,
2014-12-24,,,,,
2014-12-25,,,,,
2014-12-26,,,,,
2014-12-29,,,,,
2014-12-30,,,,,
2015-01-05,,,,,
2015-01-06,,,,,
2015-01-08,,,,,
2015-01-09,,,,,
2015-01-12,,,,,
2015-01-13,,,,,
2015-01-14,,,,,
2015-01-15,,,,,
2015-01-16,,,,,
2015-01-19,,,,,
2015-01-20,,,,,
2015-01-21,,,,,
2015-01-22,,,,,
2015-01-23,,,,,
2015-01-26,,,,,
2015-01-27,,,,,
2015-01-28,,,,,
2015-01-29,,,,,
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-18,,,,,
2015-02-19,,,,,
2015-02-20,,,,,
2015-02-24,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,,,,,
2015-04-03,,,,,
2015-04-06,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,,,,,
2015-04-20,,,,,
2015-04-21,,,,,
2015-04-22,,,,,
2015-04-23,,,,,
2015-04-24,,,,,
2015-04-27,,,,,
2015-04-28,,,,,
2015-04-29,,,,,
2015-04-30,,,,,
2015-05-05,,,,,
2015-05-06,,,,,
2015-05-07,,,,,
2015-05-08,,,,,
2015-05-12,,,,,
2015-05-13,,,,,
2015-05-14,,,,,
2015-05-15,,,,,
2015-05-18,,,,,
2015-05-19,,,,,
2015-05-20,,,,,
2015-05-21,,,,,
2015-05-22,,,,,
2015-05-25,,,,,
2015-05-26,,,,,
2015-05-27,,,,,
2015-05-28,,,,,
2015-05-29,,,,,
2015-06-01,,,,,
2015-06-02,,,,,
2015-06-03,,,,,
2015-06-04,,,,,
2015-06-05,,,,,
2015-06-08,,,,,
2015-06-09,,,,,
2015-06-10,,,,,
2015-06-11,,,,,
2015-06-15,,,,,
2015-06-16,,,,,
2015-06-17,,,,,
2015-06-18,,,,,
2015-06-19,,,,,
2015-06-22,,,,,
2015-06-23,,,,,
2015-06-24,,,,,
2015-06-25,,,,,
2015-06-26,,,,,
2015-06-29,,,,,
2015-06-30,,,,,
2015-07-01,,,,,
2015-07-02,,,,,
2015-07-03,,,,,
2015-07-06,,,,,
2015-07-07,,,,,
2015-07-08,,,,,
2015-07-09,,,,,
2015-07-10,,,,,
2015-07-13,,,,,
2015-07-14,,,,,
2015-07-15,,,,,
2015-07-16,,,,,
2015-07-17,,,,,
2015-07-20,,,,,
2015-07-21,,,,,
2015-07-22,,,,,
2015-07-23,,,,,
2015-07-24,,,,,
2015-07-27,,,,,
2015-07-28,,,,,
2015-07-29,,,,,
2015-07-30,,,,,
2015-07-31,,,,,
2015-08-03,,,,,
2015-08-04,,,,,
2015-08-05,,,,,
2015-08-06,,,,,
2015-08-07,,,,,
2015-08-10,,,,,
2015-08-11,,,,,
2015-08-12,,,,,
2015-08-13,,,,,
2015-08-14,,,,,
2015-08-17,,,,,
2015-08-18,,,,,
2015-08-19,,,,,
2015-08-20,,,,,
2015-08-21,,,,,
2015-08-24,,,,,
2015-08-25,,,,,
2015-08-26,,,,,
2015-08-27,,,,,
2015-08-28,,,,,
2015-08-31,,,,,
2015-09-01,,,,,
2015-09-02,,,,,
2015-09-03,,,,,
2015-09-04,,,,,
2015-09-07,,,,,
2015-09-08,,,,,
2015-09-09,,,,,
2015-09-10,,,,,
2015-09-11,,,,,
2015-09-14,,,,,
2015-09-15,,,,,
2015-09-16,,,,,
2015-09-17,,,,,
2015-09-18,,,,,
2015-09-21,,,,,
2015-09-22,,,,,
2015-09-23,,,,,
2015-09-24,,,,,
2015-09-25,,,,,
2015-09-28,,,,,
2015-09-29,,,,,
2015-09-30,,,,,
2015-10-01,,,,,
2015-10-02,,,,,
2015-10-05,,,,,
2015-10-06,,,,,
2015-10-07,,,,,
2015-10-08,,,,,
2015-10-09,,,,,
2015-10-12,,,,,
2015-10-13,,,,,
2015-10-14,,,,,
2015-10-15,,,,,
2015-10-16,,,,,
2015-10-19,,,,,
2015-10-20,,,,,
2015-10-21,,,,,
2015-10-22,,,,,
2015-10-23,,,,,
2015-10-26,,,,,
2015-10-27,,,,,
2015-10-28,,,,,
2015-10-29,,,,,
2015-10-30,,,,,
2015-11-02,,,,,
2015-11-03,,,,,
2015-11-05,,,,,
2015-11-06,,,,,
2015-11-09,,,,,
2015-11-10,,,,,
2015-11-11,,,,,
2015-11-12,,,,,
2015-11-13,,,,,
2015-11-16,,,,,
2015-11-17,,,,,
2015-11-18,,,,,
2015-11-19,,,,,
2015-11-20,,,,,
2015-11-23,,,,,
2015-11-24,,,,,
2015-11-25,,,,,
2015-11-26,,,,,
2015-11-27,,,,,
2015-11-30,,,,,
2015-12-01,,,,,
2015-12-02,,,,,
2015-12-03,,,,,
2015-12-04,,,,,
2015-12-07,,,,,
2015-12-08,,,,,
2015-12-09,,,,,
2015-12-10,,,,,
2015-12-11,,,,,
2015-12-14,,,,,
2015-12-15,,,,,
2015-12-16,,,,,
2015-12-17,,,,,
2015-12-18,,,,,
2015-12-21,,,,,
2015-12-22,,,,,
2015-12-23,,,,,
2015-12-24,,,,,
2015-12-25,,,,,
2015-12-28,,,,,
2015-12-29,,,,,
2015-12-30,,,,,
2016-01-04,,,,,
2016-01-05,,,,,
2016-01-06,,,,,
2016-01-11,,,,,
2016-01-12,,,,,
2016-01-13,,,,,
2016-01-14,,,,,
2016-01-15,,,,,
2016-01-18,,,,,
2016-01-19,,,,,
2016-01-20,,,,,
2016-01-21,,,,,
2016-01-22,,,,,
2016-01-25,,,,,
2016-01-26,,,,,
2016-01-27,,,,,
2016-01-28,,,,,
2016-01-29,,,,,
2016-02-01,,,,,
2016-02-02,,,,,
2016-02-03,,,,,
2016-02-04,,,,,
2016-02-05,,,,,
2016-02-08,,,,,
2016-02-09,,,,,
2016-02-10,,,,,
2016-02-11,,,,,
2016-02-12,,,,,
2016-02-15,,,,,
2016-02-16,,,,,
2016-02-17,,,,,
2016-02-18,,,,,
2016-02-19,,,,,
2016-02-20,,,,,
2016-02-22,,,,,
2016-02-24,,,,,
2016-02-25,,,,,
2016-02-26,,,,,
2016-02-29,,,,,
2016-03-01,,,,,
2016-03-02,,,,,
2016-03-03,,,,,
2016-03-04,,,,,
2016-03-07,,,,,
2016-03-09,,,,,
2016-03-10,,,,,
2016-03-11,,,,,
2016-03-14,,,,,
2016-03-15,,,,,
2016-03-16,,,,,
2016-03-17,,,,,
2016-03-18,,,,,
2016-03-21,,,,,
2016-03-22,,,,,
2016-03-23,,,,,
2016-03-24,,,,,
2016-03-25,,,,,
2016-03-28,,,,,
2016-03-29,,,,,
2016-03-30,,,,,
2016-03-31,,,,,
2016-04-01,,,,,
2016-04-04,,,,,
2016-04-05,,,,,
2016-04-06,,,,,
2016-04-07,,,,,
2016-04-08,,,,,
2016-04-11,,,,,
2016-04-12,,,,,
2016-04-13,,,,,
2016-04-14,,,,,
2016-04-15,,,,,
2016-04-18,,,,,
2016-04-19,,,,,
2016-04-20,,,,,
2016-04-21,,,,,
2016-04-22,,,,,
2016-04-25,,,,,
2016-04-26,,,,,
2016-04-27,,,,,
2016-04-28,,,,,
2016-04-29,,,,,
2016-05-04,,,,,
2016-05-05,,,,,
2016-05-06,,,,,
2016-05-10,,,,,
2016-05-11,,,,,
2016-05-12,,,,,
2016-05-13,,,,,
2016-05-16,,,,,
2016-05-17,,,,,
2016-05-18,,,,,
2016-05-19,,,,,
2016-05-20,,,,,
2016-05-23,,,,,
2016-05-24,,,,,
2016-05-25,,,,,
2016-05-26,,,,,
2016-05-27,,,,,
2016-05-30,,,,,
2016-05-31,,,,,
2016-06-01,,,,,
2016-06-02,,,,,
2016-06-03,,,,,
2016-06-06,,,,,
2016-06-07,,,,,
2016-06-08,,,,,
2016-06-09,,,,,
2016-06-10,,,,,
2016-06-14,,,,,
2016-06-15,,,,,
2016-06-16,,,,,
2016-06-17,,,,,
2016-06-20,,,,,
2016-06-21,,,,,
2016-06-22,,,,,
2016-06-23,,,,,
2016-06-24,,,,,
2016-06-27,,,,,
2016-06-28,,,,,
2016-06-29,,,,,
2016-06-30,,,,,
2016-07-01,,,,,
2016-07-04,,,,,
2016-07-05,,,,,
2016-07-06,,,,,
2016-07-07,,,,,
2016-07-08,,,,,
2016-07-11,,,,,
2016-07-12,,,,,
2016-07-13,,,,,
2016-07-14,,,,,
2016-07-15,,,,,
2016-07-18,,,,,
2016-07-19,,,,,
2016-07-20,,,,,
2016-07-21,,,,,
2016-07-22,,,,,
2016-07-25,,,,,
2016-07-26,,,,,
2016-07-27,,,,,
2016-07-28,,,,,
2016-07-29,,,,,
2016-08-01,,,,,
2016-08-02,,,,,
2016-08-03,,,,,
2016-08-04,,,,,
2016-08-05,,,,,
2016-08-08,,,,,
2016-08-09,,,,,
2016-08-10,,,,,
2016-08-11,,,,,
2016-08-12,,,,,
2016-08-15,,,,,
2016-08-16,,,,,
2016-08-17,,,,,
2016-08-18,,,,,
2016-08-19,,,,,
2016-08-22,,,,,
2016-08-23,,,,,
2016-08-24,,,,,
2016-08-25,,,,,
2016-08-26,,,,,
2016-08-29,,,,,
2016-08-30,,,,,
2016-08-31,,,,,
2016-09-01,,,,,
2016-09-02,,,,,
2016-09-05,,,,,
2016-09-06,,,,,
2016-09-07,,,,,
2016-09-08,,,,,
2016-09-09,,,,,
2016-09-12,,,,,
2016-09-13,,,,,
2016-09-14,,,,,
2016-09-15,,,,,
2016-09-16,,,,,
2016-09-19,,,,,
2016-09-20,,,,,
2016-09-21,,,,,
2016-09-22,,,,,
2016-09-23,,,,,
2016-09-26,,,,,
2016-09-27,,,,,
2016-09-28,,,,,
2016-09-29,,,,,
2016-09-30,,,,,
2016-10-03,,,,,
2016-10-04,,,,,
2016-10-05,,,,,
2016-10-06,,,,,
2016-10-07,,,,,
2016-10-10,,,,,
2016-10-11,,,,,
2016-10-12,,,,,
2016-10-13,,,,,
2016-10-14,,,,,
2016-10-17,,,,,
2016-10-18,,,,,
2016-10-19,,,,,
2016-10-20,,,,,
2016-10-21,,,,,
2016-10-24,,,,,
2016-10-25,,,,,
2016-10-26,,,,,
2016-10-27,,,,,
2016-10-28,,,,,
2016-10-31,,,,,
2016-11-01,,,,,
2016-11-02,,,,,
2016-11-03,,,,,
2016-11-07,,,,,
2016-11-08,,,,,
2016-11-09,,,,,
2016-11-10,,,,,
2016-11-11,,,,,
2016-11-14,,,,,
2016-11-15,,,,,
2016-11-16,,,,,
2016-11-17,,,,,
2016-11-18,,,,,
2016-11-21,,,,,
2016-11-22,,,,,
2016-11-23,,,,,
2016-11-24,,,,,
2016-11-25,,,,,
2016-11-28,,,,,
2016-11-29,,,,,
2016-11-30,,,,,
2016-12-01,,,,,
2016-12-02,,,,,
2016-12-05,,,,,
2016-12-06,,,,,
2016-12-07,,,,,
2016-12-08,,,,,
2016-12-09,,,,,
2016-12-12,,,,,
2016-12-13,,,,,
2016-12-14,,,,,
2016-12-15,,,,,
2016-12-16,,,,,
2016-12-19,,,,,
2016-12-20,,,,,
2016-12-21,,,,,
2016-12-22,,,,,
2016-12-23,,,,,
2016-12-26,,,,,
2016-12-27,,,,,
2016-12-28,,,,,
2016-12-29,,,,,
2016-12-30,,,,,
2017-01-03,,,,,
2017-01-04,,,,,
2017-01-05,,,,,
2017-01-06,,,,,
2017-01-09,,,,,
2017-01-10,,,,,
2017-01-11,,,,,
2017-01-12,,,,,
2017-01-13,,,,,
2017-01-16,,,,,
2017-01-17,,,,,
2017-01-18,,,,,
2017-01-19,,,,,
2017-01-20,,,,,
2017-01-23,,,,,
2017-01-24,,,,,
2017-01-25,,,,,
2017-01-26,,,,,
2017-01-27,,,,,
2017-01-30,,,,,
2017-01-31,,,,,
2017-02-01,,,,,
2017-02-02,,,,,
2017-02-03,,,,,
2017-02-06,,,,,
2017-02-07,,,,,
2017-02-08,,,,,
2017-02-09,,,,,
2017-02-10,,,,,
2017-02-13,,,,,
2017-02-14,,,,,
2017-02-15,,,,,
2017-02-16,,,,,
2017-02-17,,,,,
2017-02-20,,,,,
2017-02-21,,,,,
2017-02-22,,,,,
2017-02-24,,,,,
2017-02-27,,,,,
2017-02-28,,,,,
2017-03-01,,,,,
2017-03-02,,,,,
2017-03-03,,,,,
2017-03-06,,,,,
2017-03-07,,,,,
2017-03-09,,,,,
2017-03-10,,,,,
2017-03-13,,,,,
2017-03-14,,,,,
2017-03-15,,,,,
2017-03-16,,,,,
2017-03-17,,,,,
2017-03-20,,,,,
2017-03-21,,,,,
2017-03-22,,,,,
2017-03-23,,,,,
2017-03-24,,,,,
2017-03-27,,,,,
2017-03-28,,,,,
2017-03-29,,,,,
2017-03-30,,,,,
2017-03-31,,,,,
2017-04-03,,,,,
2017-04-04,,,,,
2017-04-05,,,,,
2017-04-06,,,,,
2017-04-07,,,,,
2017-04-10,,,,,
2017-04-11,,,,,
2017-04-12,,,,,
2017-04-13,,,,,
2017-04-14,,,,,
2017-04-17,,,,,
2017-04-18,,,,,
2017-04-19,,,,,
2017-04-20,,,,,
2017-04-21,,,,,
2017-04-24,,,,,
2017-04-25,,,,,
2017-04-26,,,,,
2017-04-27,,,,,
2017-04-28,,,,,
2017-05-02,,,,,
2017-05-03,,,,,
2017-05-04,,,,,
2017-05-05,,,,,
2017-05-10,,,,,
2017-05-11,,,,,
2017-05-12,,,,,
2017-05-15,,,,,
2017-05-16,,,,,
2017-05-17,,,,,
2017-05-18,,,,,
2017-05-19,,,,,
2017-05-22,,,,,
2017-05-23,,,,,
2017-05-24,,,,,
2017-05-25,,,,,
2017-05-26,,,,,
2017-05-29,,,,,
2017-05-30,,,,,
2017-05-31,,,,,
2017-06-01,,,,,
2017-06-02,,,,,
2017-06-05,,,,,
2017-06-06,,,,,
2017-06-07,,,,,
2017-06-08,,,,,
2017-06-09,,,,,
2017-06-13,,,,,
2017-06-14,,,,,
2017-06-15,,,,,
2017-06-16,,,,,
2017-06-19,,,,,
2017-06-20,,,,,
2017-06-21,,,,,
2017-06-22,,,,,
2017-06-23,,,,,
2017-06-26,,,,,
2017-06-27,,,,,
2017-06-28,,,,,
2017-06-29,,,,,
2017-06-30,,,,,
2017-07-03,,,,,
2017-07-04,,,,,
2017-07-05,,,,,
2017-07-06,,,,,
2017-07-07,,,,,
2017-07-10,,,,,
2017-07-11,,,,,
2017-07-12,,,,,
2017-07-13,,,,,
2017-07-14,,,,,
2017-07-17,,,,,
2017-07-18,,,,,
2017-07-19,,,,,
2017-07-20,,,,,
2017-07-21,,,,,
2017-07-24,,,,,
2017-07-25,,,,,
2017-07-26,,,,,
2017-07-27,,,,,
2017-07-28,,,,,
2017-07-31,,,,,
2017-08-01,,,,,
2017-08-02,,,,,
2017-08-03,,,,,
2017-08-04,,,,,
2017-08-07,,,,,
2017-08-08,,,,,
2017-08-09,,,,,
2017-08-10,,,,,
2017-08-11,,,,,
2017-08-14,,,,,
2017-08-15,,,,,
2017-08-16,,,,,
2017-08-17,,,,,
2017-08-18,,,,,
2017-08-21,,,,,
2017-08-22,,,,,
2017-08-23,,,,,
2017-08-24,,,,,
2017-08-25,,,,,
2017-08-28,,,,,
2017-08-29,,,,,
2017-08-30,,,,,
2017-08-31,,,,,
2017-09-01,,,,,
2017-09-04,,,,,
2017-09-05,,,,,
2017-09-06,,,,,
2017-09-07,,,,,
2017-09-08,,,,,
2017-09-11,,,,,
2017-09-12,,,,,
2017-09-13,,,,,
2017-09-14,,,,,
2017-09-15,,,,,
2017-09-18,,,,,
2017-09-19,,,,,
2017-09-20,,,,,
2017-09-21,,,,,
2017-09-22,,,,,
2017-09-25,,,,,
2017-09-26,,,,,
2017-09-27,,,,,
2017-09-28,,,,,
2017-09-29,,,,,
2017-10-02,,,,,
2017-10-03,,,,,
2017-10-04,,,,,
2017-10-05,,,,,
2017-10-06,,,,,
2017-10-09,,,,,
2017-10-10,,,,,
2017-10-11,,,,,
2017-10-12,,,,,
2017-10-13,,,,,
2017-10-16,,,,,
2017-10-17,,,,,
2017-10-18,,,,,
2017-10-19,,,,,
2017-10-20,,,,,
2017-10-23,,,,,
2017-10-24,,,,,
2017-10-25,,,,,
2017-10-26,,,,,
2017-10-27,,,,,
2017-10-30,,,,,
2017-10-31,,,,,
2017-11-01,,,,,
2017-11-02,,,,,
2017-11-03,,,,,
2017-11-07,,,,,
2017-11-08,,,,,
2017-11-09,,,,,
2017-11-10,,,,,
2017-11-13,,,,,
2017-11-14,,,,,
2017-11-15,,,,,
2017-11-16,,,,,
2017-11-17,,,,,
2017-11-20,,,,,
2017-11-21,,,,,
2017-11-22,,,,,
2017-11-23,,,,,
2017-11-24,,,,,
2017-11-27,,,,,
2017-11-28,,,,,
2017-11-29,,,,,
2017-11-30,,,,,
2017-12-01,,,,,
2017-12-04,,,,,
2017-12-05,,,,,
2017-12-06,,,,,
2017-12-07,,,,,
2017-12-08,,,,,
2017-12-11,,,,,
2017-12-12,,,,,
2017-12-13,,,,,
2017-12-14,,,,,
2017-12-15,,,,,
2017-12-18,,,,,
2017-12-19,,,,,
2017-12-20,,,,,
2017-12-21,,,,,
2017-12-22,,,,,
2017-12-25,,,,,
2017-12-26,,,,,
2017-12-27,,,,,
2017-12-28,,,,,
2017-12-29,,,,,
2018-01-03,,,,,
2018-01-04,,,,,
2018-01-05,,,,,
2018-01-09,,,,,
2018-01-10,,,,,
2018-01-11,,,,,
2018-01-12,,,,,
2018-01-15,,,,,
2018-01-16,,,,,
2018-01-17,,,,,
2018-01-18,,,,,
2018-01-19,,,,,
2018-01-22,,,,,
2018-01-23,,,,,
2018-01-24,,,,,
2018-01-25,,,,,
2018-01-26,,,,,
2018-01-29,,,,,
2018-01-30,,,,,
2018-01-31,,,,,
2018-02-01,,,,,
2018-02-02,,,,,
2018-02-05,,,,,
2018-02-06,,,,,
2018-02-07,,,,,
2018-02-08,,,,,
2018-02-09,,,,,
2018-02-12,,,,,
2018-02-13,,,,,
2018-02-14,,,,,
2018-02-15,,,,,
2018-02-16,,,,,
2018-02-19,,,,,
2018-02-20,,,,,
2018-02-21,,,,,
2018-02-22,,,,,
2018-02-26,,,,,
2018-02-27,,,,,
2018-02-28,,,,,
2018-03-01,,,,,
2018-03-02,,,,,
2018-03-05,,,,,
2018-03-06,,,,,
2018-03-07,,,,,
2018-03-09,13.353545866845549,-0.6807396276839573,-0.0372612192770711,1847.174140969193,25.147377755466003
2018-03-12,13.331960625121676,-0.6778129886189126,-0.037462664371550936,1848.7254771678809,25.384218945856183
2018-03-13,13.31034437725855,-0.6748823910526734,-0.0376641346637443,1851.0190443737686,25.302870710586678
2018-03-14,13.288937023838047,-0.6719796241764606,-0.03786403042475128,1851.6252440097721,22.877996363501296
2018-03-15,13.26960027960623,-0.6693583277391799,-0.0380438448869968,1853.1171084856012,22.63067399216432
2018-03-16,13.250606243700982,-0.6667834543137425,-0.03822042797114883,1855.1783378521054,23.686222137363334
2018-03-19,13.23095016575657,-0.6641183345402107,-0.03840354415172975,1856.360924566049,22.913597771046845
2018-03-20,13.211876528447785,-0.6615331032985801,-0.03858053860721539,1862.039742804114,23.046782908598274
2018-03-21,13.192693221864435,-0.6589299551745791,-0.03876130024358104,1864.979959854238,23.827604033905757
2018-03-22,13.172958834625366,-0.6562512559726452,-0.038947986594100814,1868.9155853868376,22.304079321318415
2018-03-23,13.154315099211317,-0.6537195050564276,-0.03912546190296362,1870.2492614856933,22.204566368036694
2018-03-26,13.135775263040602,-0.6512025245359825,-0.039301443733573915,1869.0692001605512,19.891227130997247
2018-03-27,13.119010386818953,-0.6489290848417513,-0.03945843389486958,1870.4547373908915,20.959890382377
2018-03-28,13.101383391237572,-0.6465394850284572,-0.039622990433394456,1869.6674755320964,20.301071149557348
2018-03-29,13.084235187090181,-0.6442171740052576,-0.039781137462116034,1870.5658353359875,21.600638535742146
2018-03-30,13.066185258629355,-0.6417732542215723,-0.039947147270158356,1874.6390225901685,21.142255796116505
2018-04-02,13.048464727732842,-0.6393725466604241,-0.04011144474403716,1874.2683180036943,20.401117509342214
2018-04-03,13.03133489969427,-0.6370536770548874,-0.04026875912127348,1872.865160688403,20.876294114408324
2018-04-04,13.013844254844313,-0.6346886428321487,-0.04042715356660964,1876.4551354292346,20.738298359675376
2018-04-05,12.996584756321646,-0.6323531458969254,-0.0405848903069605,1879.2431435246242,22.19014915192168
2018-04-06,12.978363879764528,-0.62988636982237,-0.04075238642112289,1879.9176378014042,21.347337464631554
2018-04-09,12.960821888779964,-0.6275124497885469,-0.040912854748688776,1861.9545829500541,12.294898014496125
2018-04-10,12.950332344687958,-0.6261020580452962,-0.041000908006521286,1831.7648028140827,18.670257047221405
2018-04-11,12.934806947170955,-0.6240363479718708,-0.04111244245624268,1834.6184343567272,19.488061329146866
2018-04-12,12.918441617750599,-0.6218584429765955,-0.041230712105962575,1842.154625056088,19.97092806108558
2018-04-13,12.901364621980495,-0.6195824067209729,-0.04135755900658966,1835.8458288453671,18.4827160224037
2018-04-16,12.885371483659403,-0.6174564685137152,-0.04147162243650249,1834.8025511551364,16.83382490668601
2018-04-17,12.870599617896085,-0.6154947126953795,-0.04157555067703239,1839.0689121988821,19.14670437118664
2018-04-18,12.853834142016197,-0.6132665419166555,-0.04169516194143208,1843.6754642402323,21.577253886366844
2018-04-19,12.835011060659232,-0.6107629200087503,-0.041831401304969595,1846.7863969741659,20.780075251507423
2018-04-20,12.816585380537145,-0.60831188591874,-0.04196533625928489,1844.8109139035155,21.023785319863354
2018-04-23,12.797691690676574,-0.6058022470734596,-0.042099871644421416,1843.7242466793725,22.089298551783475
2018-04-24,12.7776553652087,-0.6031438963117477,-0.04224025570654083,1846.4781693239404,22.057765829161326
2018-04-25,12.75733357769151,-0.600447889735894,-0.04238286262662061,1843.1917874155151,22.26074439924726
2018-04-26,12.736583572007117,-0.5976998934095715,-0.042524635452862336,1840.1947838977662,24.22706661291145
2018-04-27,12.71370198124309,-0.5946750652079602,-0.04267680594052009,1844.419354510837,24.78127570995825
2018-04-28,12.690078479669463,-0.5915510243787201,-0.042835271199015035,1845.569427290306,24.4764876373647
